Y,tid,age25_250,age25_onegrid,age25_threegrid,age25_twogrid,age35_250,age35_onegrid,age35_threegrid,age35_twogrid,atmj1000,atmj1500,atmj250,atmj500,atmj750,local_250,local_onegrid,local_threegrid,local_twogrid,non_local_250,non_local_onegrid,non_local_threegrid,non_local_twogrid,people_250,people_onegrid,people_threegrid,people_twogrid,rich1_250,rich1_onegrid,rich1_threegrid,rich1_twogrid,路网可达性,网吧j1000,网吧j1500,网吧j250,网吧j500,网吧j750,医院j1000,医院j1500,医院j250,医院j500,医院j750,娱乐场所j1000,娱乐场所j1500,娱乐场所j250,娱乐场所j500,娱乐场所j750,住宅区j1000,住宅区j1500,住宅区j250,住宅区j500,住宅区j750
0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,126,686,350,0,0,0,0,38.01651535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,190,0.636363636,0.260273973,0.636363636,0.636363636,0,0.109589041,0,0,0,2,0,0,0,0,0.465753425,0,0,1,0.479452055,1,1,11,73,539,275,0,0,0,0,24.60063927,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,26,0,0,3
0,191,0.5,0.308333333,0.5,0.5,0.5,0.275,0.5,0.5,0,2,0,0,0,0.5,0.541666667,0.5,0.5,0.5,0.458333333,0.5,0.5,8,120,392,200,0,0,0,0,24.90604187,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,27,0,0,2
0,192,0.285714286,0.273584906,0.285714286,0.285714286,0.5,0.240566038,0.5,0.5,0,2,0,0,0,0.5,0.622641509,0.5,0.5,0.5,0.377358491,0.5,0.5,14,212,686,350,0,0,0,0,25.16567012,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,26,0,1,10
0,193,0.181818182,0.322195704,0.181818182,0.181818182,0,0.178997613,0,0,0,2,0,0,0,0.5,0.675417661,0.5,0.5,0.5,0.3150358,0.5,0.5,22,419,1078,550,0,0,0,0,25.30429197,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,28,0,10,15
0,194,0.333333333,0.329944547,0.333333333,0.333333333,0.053333333,0.180221811,0.053333333,0.053333333,0,6,0,0,0,0.613333333,0.785582255,0.613333333,0.613333333,0.333333333,0.200554529,0.333333333,0.333333333,75,1082,3675,1875,0,0,0,0,25.31401505,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,18,28,8,13,15
0,195,0.357142857,0.338235294,0.357142857,0.357142857,0.257142857,0.185661765,0.257142857,0.257142857,0,10,0,0,0,0.9,0.793198529,0.9,0.9,0.1,0.189338235,0.1,0.1,70,1088,3430,1750,0,0,0,0,25.30241447,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,15,28,8,13,15
0,196,0.391304348,0.33934611,0.391304348,0.391304348,0.304347826,0.196166855,0.304347826,0.304347826,4,10,0,0,0,0.913043478,0.801578354,0.913043478,0.913043478,0.086956522,0.18151071,0.086956522,0.086956522,46,887,2254,1150,0,0,0,0,26.87339577,1,3,0,0,0,0,1,0,0,0,1,3,0,0,0,16,30,7,11,15
0,197,0.388888889,0.4,0.388888889,0.388888889,0.222222222,0.161111111,0.222222222,0.222222222,6,13,0,0,4,0.388888889,0.688888889,0.388888889,0.388888889,0.611111111,0.288888889,0.611111111,0.611111111,18,180,882,450,0,0,0,0,30.45290657,1,2,0,0,1,1,1,0,0,0,1,2,0,0,1,18,32,0,7,16
0,198,1,0.311004785,1,1,0,0.119617225,0,0,8,15,0,4,6,1,0.650717703,1,1,0,0.315789474,0,0,4,209,196,100,0,0,0,0,32.05230072,2,2,0,1,1,1,1,0,0,1,2,2,0,1,1,20,33,0,0,12
0,199,0.213675214,0.189081225,0.213675214,0.213675214,0.179487179,0.126498003,0.179487179,0.179487179,12,15,4,6,6,0.726495726,0.645805593,0.726495726,0.726495726,0.213675214,0.330226365,0.213675214,0.213675214,117,751,5733,2925,0,0,0,0,33.54624374,2,2,1,1,2,1,2,0,1,1,2,2,1,1,2,14,36,0,2,3
0,200,0.130597015,0.135826772,0.130597015,0.130597015,0.026119403,0.040026247,0.026119403,0.026119403,12,15,4,6,10,0.630597015,0.582677165,0.630597015,0.630597015,0.354477612,0.403980752,0.354477612,0.354477612,268,4572,13132,6700,0,0,0,0,34.45279419,2,2,1,2,2,1,2,0,1,1,2,2,1,2,2,5,39,0,2,5
0,201,0.120085016,0.114409705,0.120085016,0.120085016,0.01487779,0.030969524,0.01487779,0.01487779,12,15,4,8,10,0.696068013,0.548772068,0.696068013,0.696068013,0.292242295,0.435447283,0.292242295,0.292242295,941,10139,46109,23525,0,0,0,0,34.90345027,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,5,35,0,2,4
0,202,0.201257862,0.116309098,0.201257862,0.201257862,0.201257862,0.028009535,0.201257862,0.201257862,10,15,2,10,10,0.666666667,0.544596742,0.666666667,0.666666667,0.308176101,0.434346444,0.308176101,0.308176101,159,10068,7791,3975,0,0,0,0,35.04730545,2,2,1,2,2,1,2,0,1,1,2,2,1,2,2,5,21,0,2,4
0,203,0.086956522,0.112085459,0.086956522,0.086956522,0.152173913,0.032047194,0.152173913,0.152173913,10,15,2,4,10,0.304347826,0.527742347,0.304347826,0.304347826,0.543478261,0.444674745,0.543478261,0.543478261,46,6272,2254,1150,0,0,0,0,34.76359711,2,2,1,1,2,1,2,0,1,1,2,2,1,1,2,4,17,0,2,4
0,204,0.733333333,0.225352113,0.733333333,0.733333333,0,0.100352113,0,0,10,14,0,2,4,0.266666667,0.554577465,0.266666667,0.266666667,0.733333333,0.327464789,0.733333333,0.733333333,15,568,735,375,0,0,0,0,34.45887222,2,2,0,1,1,1,2,0,0,1,2,2,0,1,1,4,15,0,0,2
0,205,0,0.329113924,0,0,0,0.189873418,0,0,5,10,0,0,4,0,0.506329114,0,0,1,0.443037975,1,1,4,79,196,100,0,0,0,0,34.29297989,1,2,0,0,1,1,1,0,0,0,1,2,0,0,1,6,13,0,0,0
0,206,0,0.260869565,0,0,0,0.173913043,0,0,4,10,0,0,0,0,0.413043478,0,0,1,0.586956522,1,1,4,46,196,100,0,0,0,0,34.37992584,1,2,0,0,0,0,1,0,0,0,1,2,0,0,0,2,11,0,0,0
0,207,0.571428571,0.2875,0.571428571,0.571428571,0,0.05,0,0,0,5,0,0,0,0,0.5875,0,0,1,0.4125,1,1,7,80,343,175,0,0,0,0,34.79629257,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0,0,0
0,208,0,0.313253012,0,0,0,0.096385542,0,0,0,4,0,0,0,0.363636364,0.65060241,0.363636364,0.363636364,0.636363636,0.34939759,0.636363636,0.636363636,11,83,539,275,0,0,0,0,35.56583435,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0
0,209,1,0.21686747,1,1,0,0.144578313,0,0,0,0,0,0,0,1,0.686746988,1,1,0,0.313253012,0,0,7,83,343,175,0,0,0,0,36.24414932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,211,0,0.072727273,0,0,0,0.072727273,0,0,0,0,0,0,0,0,0.2,0,0,1,0.8,1,1,4,55,196,100,0,0,0,0,37.44336105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,310,0.363636364,0.305555556,0.363636364,0.174762408,0,0.208333333,0,0.161034847,2,2,0,0,0,0.636363636,0.416666667,0.636363636,0.557022175,0.363636364,0.527777778,0.363636364,0.329461457,11,72,539,1894,0,0,0,0,24.4943586,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,9,30,0,0,0
0,311,0,0.401574803,0,0.182484901,0.5,0.25984252,0.5,0.165228645,2,2,0,0,0,0.5,0.511811024,0.5,0.578084556,0.5,0.488188976,0.5,0.321397757,8,127,392,2318,0,0,0,0,24.7111264,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,19,27,0,0,6
0,312,0,0.275132275,0,0.197901592,1,0.164021164,1,0.174384949,2,2,0,0,0,1,0.592592593,1,0.600217077,0,0.35978836,0,0.310057887,4,378,196,2764,0,0,0,0,25.04378258,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,20,27,0,3,18
0,313,0.328125,0.263925729,0.328125,0.229516539,0.171875,0.184350133,0.171875,0.180916031,2,2,0,0,0,0.71875,0.632625995,0.71875,0.645038168,0.28125,0.323607427,0.28125,0.284478372,64,754,3136,3930,0,0,0,0,25.2717093,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,20,28,3,15,18
0,314,0.377358491,0.284436494,0.377358491,0.283524904,0.176100629,0.18783542,0.176100629,0.193869732,2,8,0,0,0,0.754716981,0.718545021,0.754716981,0.718007663,0.245283019,0.25104353,0.245283019,0.252490421,159,1677,7791,2610,0,0,0,0,25.20264593,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,20,27,12,15,18
0,315,0.327743902,0.300127714,0.327743902,0.287687451,0.193597561,0.19412516,0.193597561,0.187056038,0,10,0,0,0,0.821646341,0.743933589,0.821646341,0.715469613,0.161585366,0.230523627,0.161585366,0.252565114,656,1566,32144,2534,0,0,0,0,25.19447838,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,23,26,13,15,15
0,316,0.333333333,0.308975377,0.333333333,0.301869585,0.166666667,0.18268467,0.166666667,0.18878249,6,11,0,0,0,0.666666667,0.75694996,0.666666667,0.723210214,0.333333333,0.220015886,0.333333333,0.248062016,42,1259,2058,2193,0,0,0,0,25.77877296,1,3,0,0,0,0,1,0,0,0,1,3,0,0,0,20,36,9,15,16
0,317,1,0.328220859,1,0.306742151,0,0.13190184,0,0.182192486,8,17,0,0,4,0,0.680981595,0,0.724137931,1,0.285276074,1,0.247555327,4,326,196,1943,0,0,0,0,29.51853775,1,3,0,0,1,0,2,0,0,0,1,3,0,0,1,18,43,0,10,16
0,318,0.636363636,0.265432099,0.636363636,0.204341317,0,0.132716049,0,0.129865269,8,15,0,4,7,1,0.679012346,1,0.620508982,0,0.287037037,0,0.315494012,11,324,539,2672,0,0,0,0,32.36657036,2,2,0,1,1,1,2,0,0,0,2,2,0,1,1,20,49,0,1,13
0,319,0,0.156604901,0,0.161896745,0,0.103407053,0,0.060044893,12,15,4,5,8,0.733333333,0.613867304,0.733333333,0.570145903,0.266666667,0.312014345,0.266666667,0.396885522,15,1673,735,7128,0,0,0,0,34.09479431,2,2,1,1,2,1,2,0,0,1,2,2,1,1,2,17,44,0,1,3
0,320,0.042105263,0.138211382,0.042105263,0.13051997,0.263157895,0.043305127,0.263157895,0.044988696,12,15,5,5,12,0.705263158,0.56412809,0.705263158,0.548229088,0.294736842,0.405840385,0.294736842,0.425244913,95,6027,4655,13270,0,0,0,0,35.06864442,2,2,1,2,2,1,2,0,0,1,2,2,1,2,2,5,46,0,1,3
0,321,0.119728377,0.116263663,0.119728377,0.133939525,0.020014296,0.033537595,0.020014296,0.046619037,12,15,5,9,12,0.528949249,0.54206691,0.528949249,0.547232446,0.45961401,0.433835707,0.45961401,0.42101465,2798,12076,137102,13857,0,0,0,0,35.54001617,2,2,0,2,2,1,2,0,1,1,2,2,0,2,2,7,44,0,0,3
0,322,0.096890817,0.119295436,0.096890817,0.134785766,0.020968908,0.029089939,0.020968908,0.045388526,12,15,5,9,10,0.522957339,0.535361623,0.522957339,0.544807553,0.458604483,0.442932123,0.458604483,0.422948439,5532,11241,271068,13770,0,0,0,0,35.48460846,2,2,0,1,2,1,2,0,0,1,2,2,0,1,2,7,30,0,0,2
0,323,0.22616408,0.114153935,0.22616408,0.132436497,0.077605322,0.036033439,0.077605322,0.035260695,12,16,4,5,9,0.578713969,0.528826751,0.578713969,0.537433155,0.297117517,0.443067166,0.297117517,0.437583556,451,6938,22099,11968,0,0,0,0,34.89677383,2,2,0,1,1,1,2,0,0,1,2,2,0,1,1,8,31,0,0,2
0,324,0.379310345,0.276155718,0.379310345,0.126058325,0.24137931,0.116788321,0.24137931,0.040585943,9,22,0,4,5,0.724137931,0.563260341,0.724137931,0.526004569,0.137931034,0.341849148,0.137931034,0.442951216,29,822,1421,7441,0,0,0,0,34.24874802,1,2,0,0,1,1,3,0,0,0,1,2,0,0,1,7,35,0,0,0
0,325,0,0.330532213,0,0.273524721,1,0.112044818,1,0.097288676,5,23,0,0,4,1,0.526610644,1,0.519936204,0,0.431372549,0,0.389154705,4,357,196,1254,0,0,0,0,33.80578064,1,2,0,0,0,1,4,0,0,0,1,2,0,0,0,3,25,0,0,2
0,326,0.363636364,0.311418685,0.363636364,0.360552764,0,0.076124567,0,0.096733668,4,19,0,0,0,0.636363636,0.491349481,0.636363636,0.452261307,0.363636364,0.470588235,0.363636364,0.510050251,11,289,539,796,0,0,0,0,33.8187323,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,3,20,0,0,2
0,327,1,0.253218884,1,0.348101266,0,0.0472103,0,0.102531646,0,14,0,0,0,0,0.459227468,0,0.427848101,1,0.47639485,1,0.548101266,4,233,196,790,0,0,0,0,34.38226364,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,2,16,0,0,0
0,328,0.388888889,0.35483871,0.388888889,0.345821326,0,0.120967742,0,0.096541787,0,13,0,0,0,1,0.637096774,1,0.404899135,0,0.298387097,0,0.567723343,18,124,882,694,0,0,0,0,35.26979462,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,2,14,0,0,0
0,329,0,0.301886792,0,0.194896612,0.571428571,0.216981132,0.571428571,0.052793665,0,9,0,0,0,1,0.745283019,1,0.260008799,0,0.216981132,0,0.702155741,7,106,343,2273,0,0,0,0,36.14394699,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0
0,330,0,0.235294118,0,0.180659341,0.363636364,0.193277311,0.363636364,0.054505495,0,7,0,0,0,0.636363636,0.420168067,0.636363636,0.245714286,0.363636364,0.579831933,0.363636364,0.715164835,11,119,539,2275,0,0,0,0,36.96626801,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0
0,332,0.125,0.096153846,0.125,0.140061792,0,0.025641026,0,0.041194645,0,0,0,0,0,0.125,0.096153846,0.125,0.21884655,0.875,0.858974359,0.875,0.739443872,32,156,1568,1942,0,0,0,0,38.11403824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,333,0,0.080808081,0,0.135718043,0,0,0,0.035770647,0,0,0,0,0,1,0.151515152,1,0.211993688,0,0.777777778,0,0.745397159,4,99,196,1901,0,0,0,0,38.43118805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.023593999,430,0,0.153941651,0.200425683,0.184298708,1,0.160148976,0.162114225,0.154619435,2,2,0,0,2,0,0.539416511,0.512947854,0.561033988,1,0.329608939,0.40049663,0.336045955,7,1611,2819,2089,0,0,0,0,24.39233078,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,6,32,0,0,3
0.013110416,431,0.636363636,0.169897377,0.202816901,0.183571153,0,0.15963512,0.165633803,0.164288469,2,2,0,0,2,0.636363636,0.557582668,0.535211268,0.584650983,0.363636364,0.322120867,0.389859155,0.325491708,11,1754,3550,2593,0,0,0,0,24.43227043,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,20,33,0,2,6
0.002217267,432,0.471698113,0.176750834,0.216348109,0.194315545,0.132075472,0.163887566,0.176291175,0.178944316,2,2,0,0,2,0.603773585,0.579799905,0.560187068,0.618909513,0.396226415,0.311100524,0.376779179,0.303944316,53,2099,4918,3448,0,0,0,0,24.74172302,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,22,28,0,6,18
0.000109836,433,0.201030928,0.242105263,0.236595607,0.227156277,0.128865979,0.197894737,0.186531008,0.185098207,2,2,0,0,2,0.56185567,0.712631579,0.60626615,0.657557643,0.345360825,0.252631579,0.341408269,0.279461998,194,950,6192,4684,0,0,0,0,25.03254967,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,24,27,3,18,20
0,434,0.124260355,0.2734375,0.24482978,0.275414781,0.313609467,0.2,0.185332485,0.19638009,2,8,0,0,2,0.603550296,0.720833333,0.619153675,0.726696833,0.331360947,0.246875,0.327553293,0.245852187,169,1920,6286,3315,0,0,0,0,24.84814682,1,2,0,0,1,0,0,0,0,0,1,2,0,0,1,24,26,10,17,20
0,435,0.25,0.290940767,0.280115512,0.279776675,0.182835821,0.200348432,0.185437294,0.191997519,2,11,0,0,0,0.630597015,0.725900116,0.655940594,0.726116625,0.343283582,0.244483159,0.31910066,0.244416873,268,1722,4848,3224,0,0,0,0,24.8131608,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,26,32,10,15,22
0,436,0.308641975,0.309888579,0.279378658,0.298264258,0.049382716,0.178969359,0.18572715,0.191640099,6,13,0,0,0,0.691358025,0.722841226,0.678973435,0.732554021,0.222222222,0.249303621,0.296262945,0.240170032,81,1436,4442,2823,0,0,0,0,26.99088177,1,3,0,0,0,0,1,0,0,0,1,3,0,0,0,26,41,7,15,18
0,437,0.189189189,0.322666667,0.289890378,0.314663024,0.094594595,0.152,0.1863581,0.182149362,7,17,0,0,6,0.662162162,0.696,0.695493301,0.743169399,0.283783784,0.274666667,0.27771011,0.230418944,74,375,4105,2196,0,0,0,0,31.30387169,1,3,0,0,1,0,2,0,0,0,1,3,0,0,1,21,49,0,10,18
0,438,0.304347826,0.290540541,0.25389599,0.215287049,0.152173913,0.14527027,0.160217125,0.135847797,11,15,0,6,7,0.543478261,0.706081081,0.696900718,0.658210948,0.456521739,0.266891892,0.259324111,0.282376502,46,296,5711,2996,0,0,0,0,32.84522675,1,2,0,1,1,1,2,0,0,0,1,2,0,1,1,25,49,1,1,13
0,439,0.314285714,0.166768853,0.217424179,0.169203673,0.114285714,0.13243409,0.119297656,0.073845767,15,15,4,7,9,0.8,0.599632128,0.650760313,0.588879104,0.2,0.315757204,0.318491137,0.375770537,35,1631,11903,7949,0,0,0,0,34.75012628,2,2,0,1,1,2,2,0,0,0,2,2,0,1,1,30,48,1,1,1
0,440,0.149722736,0.151225115,0.174277267,0.13686002,0.100739372,0.056852986,0.088534823,0.054602184,15,15,5,9,11,0.57948244,0.5356049,0.608190977,0.56034605,0.316081331,0.425727412,0.364925537,0.411147355,1082,5224,18264,14102,0,0,0,0,35.80159745,2,2,0,1,2,2,2,0,0,0,2,2,0,1,2,20,48,1,1,1
0,441,0.218934911,0.121417127,0.172272184,0.13800813,0.036982249,0.037653552,0.089930862,0.056707317,15,15,7,11,11,0.411242604,0.527505786,0.596194833,0.556504065,0.568047337,0.444454335,0.371523626,0.408401084,676,11234,19237,14760,0,0,0,0,36.38792892,2,2,0,1,2,2,2,0,0,1,2,2,0,1,2,19,47,0,1,3
0,442,0.074285714,0.123124279,0.180014767,0.142241379,0.04,0.029145825,0.088604479,0.0546875,15,20,5,9,11,0.516190476,0.521546749,0.571105095,0.546807651,0.462857143,0.45325125,0.395175978,0.417564655,525,10396,20315,14848,0,0,0,0,36.09511261,2,2,0,0,2,2,2,0,0,0,2,2,0,0,2,19,39,0,0,3
0,443,0.283185841,0.114919061,0.202861284,0.140156504,0.185840708,0.032375674,0.083874889,0.044162083,13,24,4,5,9,0.530973451,0.528802683,0.539997195,0.532966607,0.407079646,0.440134169,0.427696479,0.437592004,113,6857,21389,12907,0,0,0,0,35.17362061,2,2,0,0,1,2,4,0,0,0,2,2,0,0,1,15,39,0,0,3
0,444,0.367647059,0.275428571,0.203682886,0.136070752,0.161764706,0.114285714,0.073818318,0.044851548,11,24,0,4,5,0.573529412,0.573714286,0.516353514,0.51219204,0.367647059,0.316571429,0.455543065,0.452811118,68,875,18681,7915,0,0,0,0,33.99942291,1,2,0,0,0,2,4,0,0,0,1,2,0,0,0,9,38,0,0,3
0,445,0.456521739,0.327231121,0.20363766,0.272675414,0.119565217,0.116704805,0.051266049,0.094124358,5,24,0,0,4,0.652173913,0.519450801,0.436162625,0.44381061,0.347826087,0.43020595,0.528887304,0.464917285,92,437,11216,1753,0,0,0,0,33.06242645,1,2,0,0,0,0,4,0,0,0,1,2,0,0,0,5,36,0,2,3
0,446,0.192307692,0.325925926,0.358695652,0.364249578,0.053846154,0.081481481,0.073215751,0.08010118,4,22,0,0,0,0.407692308,0.474074074,0.293068089,0.374367622,0.538461538,0.498765432,0.653609516,0.585160202,130,405,4876,1186,0,0,0,0,32.99881439,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,7,25,0,2,3
0,447,0.333333333,0.370689655,0.417715148,0.373346897,0,0.0625,0.071464519,0.090539166,0,16,0,0,0,0.545454545,0.381465517,0.258429794,0.410986775,0.333333333,0.586206897,0.706089582,0.565615463,33,464,3974,983,0,0,0,0,33.80793732,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,7,18,0,0,2
0,448,0.266666667,0.398058252,0.412873563,0.349544073,0.266666667,0.097087379,0.108505747,0.131306991,0,15,0,0,0,0.466666667,0.378640777,0.415862069,0.532522796,0.266666667,0.59223301,0.544597701,0.421276596,15,412,4350,1645,0,0,0,0,34.87005341,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,19,0,0,2
0,449,0.318181818,0.403409091,0.25713756,0.225019878,0.318181818,0.147727273,0.114757138,0.100185529,0,11,0,0,0,0.818181818,0.383522727,0.455135336,0.407633183,0.181818182,0.59375,0.494067482,0.543334217,22,352,5394,3773,0,0,0,0,36.02541397,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,19,0,0,0
